story_name,surface_story,truth
"Half a Bottle of Perfume","Recently, my mother has been acting strangely, secretly using my perfume and wearing my clothes, even sneaking out at midnight. One day, I couldn't hold back and confronted her, leading to an argument. Accidentally, I pushed her to the ground. Rushing to help her up, I found my hands covered in fresh blood.","My mother passed away a few days ago. Her death dealt a severe blow to me, inducing hallucinations and sleepwalking. At night, I find myself dressing in the beautiful clothes and perfume my mother left me, wandering to her grave to speak with her. Once, while arguing with what I imagined was her reflection in the mirror, I accidentally knocked it over. It shattered, and as I hurriedly collected the pieces, I cut my hands, causing them to bleed."
"Found You","Drip...drip...drip... Bang bang bang. Drip...drip...drip... The sound of water rushing. Drip...drip...drip... 'I found you.'","Having accidentally witnessed a murder, I became the target of the killer's pursuit. In desperation, I hid in a bathroom, listening as his footsteps grew nearer. Just when the footsteps seemed to recede, giving me a false sense of security, my accidental flushing of the toilet drew the killer back. Peeking under the door, he ominously stated, 'I found you,' with the increasing 'drips' indicating his approaching presence, and the 'bang bang bang' being the sound of him knocking on the bathroom door."
"Grandma's Apples","At age 6, my grandma told me not to eat yellow apples. At 13, she warned me against green apples. At 18, she cautioned me about red apples. After she passed away at 20, I prayed to her, hoping I can enjoy all apples freely.","Our family, living in poverty, depended solely on my grandmother's apple orchard. Following my brother's birth, I felt neglected, prompting my grandmother to grow poisonous apples as a form of protection. These actions led to a solitude shared only between us. As I grew, she continued to use the apples to shield me from harm until her death, which quieted the village's whispers. Under the apple tree, I whispered a prayer to my grandmother, allowing myself the freedom to enjoy any apple, marking the end of our silent battle against the world."
"Forever Together","My mother loved me deeply, but after a heavy rain, she locked me in a pitch-dark room. When I saw her again, she was unrecognizable. I knew then that we would be together forever.","As a cherished Barbie doll, I was adored and never left behind by my mother. Following a storm, she placed me in a neglected warehouse. Years later, during her funeral, I was laid beside her, now unrecognizable. Surrounding conversations revealed her identity to me, affirming my belief in our everlasting connection, despite the surrounding darkness."
"The Strange Mark","Returning home from studying abroad, I noticed an 'X' written next to our door, which I casually erased. However, it reappeared by evening. Assuming it was a child's prank, I ignored it. That night, loud cartoon noises from the neighbor's house distracted me from work, so I went to confront them. The next morning, the 'X had changed to an 'O. Just as I was puzzled, the neighbor's door opened, and I realized danger was imminent...","Previously, a tragic accident in our building led to a boy's death. His father, seeking vengeance for the unresolved tragedy, marked the doors of residents, with 'X indicating his actions of retribution and 'O' marking those next in line. My confrontation with the neighbors revealed my presence, unknowingly changing my status to his next target. The next morning's ominous door opening forewarned of the peril that awaited me."
"The Elevator","I entered the elevator to go to school, but as it ascended, I knew I could never go to school again."," On a Monday morning, urged by my mother, I absent-mindedly entered the elevator for school. Forgetting to press for the ground floor, the elevator kept rising. Just as I was about to correct this, it stopped, and the doors opened to reveal a girl in a pool of blood and a man cleaning up. The man, noticing me, stared intently at my hand. Startled, I frantically pressed the elevator button to close the door. As it nearly shut, a bloody hand reached in, confirming my fears of never reaching school. (The elevator's ascent was triggered by the girl pressing the button for help before being murdered.)"
"Birthday","A person celebrates their birthday alone, inviting all their friends. After blowing out the candles, this person kills all their friends.","The protagonist and their friends, once stranded without food, lied to the blind protagonist, saying everyone would amputate a hand for food, yet only the protagonist's hand was cut. Later, during a birthday party, the protagonist realized the deceit when everyone clapped, revealing only their hand had been taken. Unable to bear the betrayal, the protagonist killed all their friends."
"The Doll","I found a cup of honey water and a piece of chocolate cake on my bedside table, but the doll that was supposed to be there had disappeared. I knew then that my boyfriend would never return.","My boyfriend was abusive. A quiet neighbor gave me a doll, which I knew was tampered with but also believed had fallen in love with me. I confided in the doll about my boyfriend's abuse. After one of his assaults, he left, and I cried myself to sleep. Later, I felt a presence and the sound of dripping, but slept more peacefully (The dripping sound was blood from my boyfriend's severed hand, used by the neighbor to unlock my door, bringing me the honey water and cake.)"
"The Photo Album","I am a doctor. One day, someone placed a photo album in front of me, and I realized they had uncovered all of my secrets.","I grew up enduring my stepmother's brutal beatings, haunted by her phoenix eyes which were the source of my nightmares. Eventually, I killed her, cutting out her eyelids to place in my photo album. I wanted her to witness my future happiness. As an adult, I became an ophthalmologist, but just as I was about to escape the shadow she cast over my life, I encountered a patient whose eyes eerily resembled those of my stepmother. Unable to control myself, the sight of those eyes brought back memories of that vile woman, leading me to kill any woman who shared her distinctive phoenix eyes. Gradually, my album grew thicker with my sins, and now, I must face the consequences... (The person with the album was a police officer.)"
"Hair Washing","One night, I washed my hair in the dormitory, and as a result, both my roommate and I ended up dead.","My parents were scientists, but I was unfortunately afflicted with a terminal illness. In my final moments, they preserved my brain in a robotic body, but my head could not be exposed to water as it would short-circuit, leading to my demise. Having not washed my hair for a long time due to my obsession with cleanliness, I decided to wash it when the dormitory was empty. However, my roommate unexpectedly returned, screamed upon seeing me, and fainted, while I accidentally dropped my head into the sink, causing a short-circuit and shutting down permanently."
"Weight Loss","With my husband's assistance, I successfully lost weight, but during a live broadcast, I suddenly felt unwell and discovered a horrifying scene in the bathroom.","I've always had a fast metabolism and couldn't gain weight. To make money, my boyfriend suggested I start a mukbang channel. Recently, feeling bloated, my boyfriend, a doctor, performed liposuction on me at home. During a live session, I felt nauseous and rushed to the bathroom, where I found the toilet clogged. To my horror, when I extracted the blockage, it was my unborn baby! Unbeknownst to me, my weight gain was due to pregnancy, but to ensure I could continue my live streams for income, he removed the baby while I was under anesthesia..."
"The Creepy Portrait","A lost girl found an empty house to rest in, too weary to sleep. Awakening the next morning, she discovered something amiss and fled the house in terror.","At dusk, the lost girl stumbled upon a cottage adorned with a portrait. Deciding to rest there, she felt uneasy, as if the person in the portrait was watching her, preventing her from falling asleep. The next morning, she woke to find the portrait's subject gone. Realizing the 'portrait' was actually a window, and someone had been watching her from outside, she understood the truth and hurriedly left the house."
"The Old Music Box","A boy and a girl were neighbors since childhood. For her birthday, the boy gave her an old music box, and soon after, the girl moved away.","The boy had been courting the girl for some time. On her birthday, he gifted her an old music box, identical to one she had in her early childhood, moving her deeply enough to accept his advances. However, after accidentally breaking the music box, she found a photo inside of her childhood dog, which she had buried with a similar music box after its death. Realizing the boy had exhumed the music box to win her over, she recognized his obsession and fled overnight."
"The Shadow","One evening, I went to the public restroom and saw a person standing by the men's entrance with a shadow behind him, holding something. I was startled but quickly composed myself. The next day, the police asked me why I hadn't reported seeing a corpse; I was instantly petrified.","The absence of light at night means there are no shadows. The 'shadow' I saw behind the man was actually a body."
"The Rental","After moving into a new house, I often heard noises resembling rats scurrying, but the rent was affordable, and I slept well. Eventually, the landlord got a girlfriend, and the noises stopped, yet the sudden silence kept me from sleeping peacefully...","I had always known the landlord spied on me from the ceiling, but being watched somehow gave me a sense of security. Despite the creepy surveillance, I felt no discomfort until the landlord found a girlfriend, and the once noisy ceiling fell silent. Seizing an opportunity while he was fixing the wiring, I ensured he would stay in the ceiling forever. Through a small hole, I knew he was always watching, allowing me to sleep soundly once more. (The rat noises were made by the landlord's spying activities.)"
"The Ice Cream","My brother deeply regrets it, believing that if he had eaten the ice cream that day, his younger brother wouldn't have died.","My mother had recently stored a box of ice cream in the warehouse freezer, planning to transfer it to the refrigerator later but forgot to close the freezer door. My younger brother sneaked into the warehouse to play and, upon discovering the open freezer, climbed a stool to reach the ice cream. Struggling to grab a piece, he lost his balance and fell in, causing the freezer door to shut. When my brother came home from school, my mother mentioned the new ice cream, but he declined. It wasn't until dinner time that everyone realized my younger brother was missing, eventually finding him dead in the freezer."
"1237","A child in kindergarten always counts '1, 2, 3, 7,' skipping '4, 5, 6.' When I corrected her, she insisted that this was how her mother taught her. Intrigued, I proposed a home visit, and after the visit, I too started saying '1, 2, 3, 7.'","I am a kindergarten teacher. During class, I noticed a child who couldn't count correctly. While others counted from 1 to 7 sequentially, she would say '1, 2, 3, 7.' When I tried to teach her the correct sequence, she told me that her mother taught her to count as '1, 2, 3, 7.' Confused, I proposed a visit to her home, but she led me to a hospital instead. It turned out her mother had a heart condition and wasn't expected to live much longer. It was March, and her daughter's birthday was in July. Her mother had created this kind-hearted lie to ensure she could 'be with' her daughter to celebrate one last birthday. Learning this, I was deeply moved and continued to say 'after 3 comes 7,' just like her mother."
"The Potion","My grandmother gave me a bottle of potion, and I lost the boy I loved the most.","I begged my grandmother for a magical potion that would make the person I love fall eternally in love with me. The boy I loved drank it, but the next day, he died in a graveyard. It turned out that the potion required the hair of the person making it to serve as a catalyst, and I was wearing a wig at the time. The wig's original owner was a woman who had recently passed away. No wonder I felt nothing when my grandmother plucked my hair."
"Princess Belle","I am Princess Belle. My father prepared a grand wedding for me, but I couldn't see the prince's face at the wedding...","Ever since I was young, I liked fierce beasts. My father indulged this hobby of mine, so I always hoped to marry a brave prince. My condition was that my pets also had to accept him. Despite my beauty attracting countless princes, they were all scared away by this test, until one prince passed it. At the wedding, I couldn't wait to lift my veil to see his face, but I couldn't see it clearly because he had been bitten by a beast, losing his entire face."
"A Plate of Ribs","On my birthday, my dad brought out a plate of ribs and said something that made me burst into tears.","I was a child my dad found. When I was little, he consoled me by saying my mom was a secret agent who had to be abroad on missions, so every year on my birthday, he would serve a plate of ribs, saying it was sent back by my mom. As I grew older and began to understand, the lie was about to be exposed. My dad told me, "Your mom sacrificed herself on a mission," and since then, I never had my mom's ribs again until this year. My dad was diagnosed with Alzheimer's disease, a condition that causes forgetfulness, and on my birthday, he brought out a plate of ribs again, telling me mom sent ribs again. Oh dad, you forgot you told me mom had already sacrificed... I've always known my secret agent mom was you..."
"The Broadcast","After hearing the news on the broadcast, I first felt fortunate and then burst into tears.","I was kidnapped by a serial killer who locked me up with several other girls. Every other day, he would take one girl out to kill and then dump the body... After another girl was taken away, leaving me alone, I thought my end was coming. But he never came back. Later, I heard on the broadcast that he was shot dead by the police. I was grateful to be alive, but then I burst into tears because I realized I might never get out..."
"The Beggar","I'm a beggar. One day, I woke up to find something extra in my bowl, which gave me a feast, but on the seventh day, I died.","The elders say, never spend the red packets you find on the road, as using them means you agree to the marriage. But I was just a beggar, how could I know? So I comfortably lived off this money for six days until the seventh night, my bride found me..."
"Hide and Seek","I was playing hide and seek with my mom, but when she found me, I couldn't move at all.","My mom and I were playing hide and seek at home. I hid under the bed. As I heard the footsteps, I knew mom was coming. But when the door opened, I saw my mom's eyes. She was on the ground, being dragged by someone, seemingly lifeless, and I, covering my mouth and nose, dared not move!"
"The Prophecy","I had an all-knowing grandmother who could predict the future, but when I came back from the ball, I found she had disappeared.","Growing up shy and lacking confidence, my character affected my life significantly. So, my brain split off a personality that could predict the future, guiding me to confidently face problems and decisions. But as I grew overly dependent on her, to avoid dominating my entire being, she chose to disappear. Without her guidance, I attended the ball, and afterward, I chose to end my life."
"Cinderella","My name is Cinderella. Poor and ugly me married a prince, who said something to me that day, and I knew another ball was about to begin.","I received an invitation to the prince's ball, and I was surprised because of my poor and ugly appearance. But I still wore my best dress and the glass slippers sent by the guard. It felt like a dream, the prince chose me among so many people. One day after the wedding, I accidentally entered the prince's secret room, and amid the strong smell of blood, I saw many feet wearing glass slippers. I wanted to leave the secret room quickly but found the prince approaching me with a knife, saying, 'Your face doesn't match your feet.' Looking down at my feet, I realized why the prince chose me among all the beautiful girls... The prince had a foot fetish, had been married many times, and I knew another ball was about to begin because I was going to be his next victim."
"The Mermaid Princess","The mermaid fell in love with the human prince and came to his country, but soon after, the news of the prince's death came.","I am the mermaid princess, and it is said that eating my flesh allows one to survive in the sea. I saved a human prince, and his kindness and consideration attracted me, so we fell in love. I decided to marry him and live in his country. However, when the prince brought me back to his country, I saw that many people had no legs! The murmurs of the people reached my ears, they were inconvenienced on land without legs, they heard that eating my flesh would allow them to live in the sea, they wanted to eat me... I felt desperate, and Cinderella, the queen, also conveyed her intention to the prince. But the next day, news of the prince's death came from the palace, next to his body was written 'Mermaid flesh is poisonous!' I survived unharmed. Mermaid flesh is not poisonous, the prince killed himself to protect the mermaid princess, making people believe mermaid flesh was poisonous and should not be eaten."
"Midnight Train","Five minutes to midnight, a man boarded the train. His expression was strange as he looked at the few passengers and began asking their ages. 'Madam, are you 28 this year?' 'How did you know?' 'Sir, are you 55?' 'Yes. Then the man correctly guessed the passengers' ages one by one. 'Granny, are you 69 this year?' 'No, in 5 minutes, I will be 69.' The man's face turned pale upon hearing this.","The man has a supernatural ability to know the death age of people but cannot see his own. After boarding, he found it odd that the passengers looked about the age they would die, so he tested a few and discovered they would all die within the year. When he asked the granny, he realized that in five minutes, a train accident would occur, and everyone on board would die."
"Washing Machine","At night, a poor scavenger brought home a washing machine he found. He woke up from his sleep in the middle of the night, thinking he heard the washing machine start.","The murderer killed and dismembered people, placing their body parts in the washing machine to transport the pieces to the outskirts. When the scavenger found the washing machine while the murderer was nearby digging a hole to bury the body, the murderer realized too late, and the scavenger had already left with the machine. The murderer tracked the scavenger home and snuck in to start the washing machine, intending to wash away the bloodstains inside."
"Grandma","My grandmother, mother, and I depended on each other. Grandma loved me deeply. She never allowed me to go to the small attic upstairs. As grandma's health worsened, for a while, I thought I heard stomping sounds from the attic. Before dying, grandma told me my favorite doll was in the cupboard in the attic. When I went up and opened the cupboard, indeed, there was a doll.","Grandma loved me and always wanted to give me the best. Our family was poor, and as grandma's health declined, my mother still made her do heavy work. Grandma planned revenge, so she killed my mother. Because of her weak body, she moved parts of the body to the attic every night, slowly making the doll I liked."
"The Little Red Dress","My sister picked out a little red dress for me, I wore it to school, and then someone died.","My mother and the teacher were involved; they always took the opportunity when my father was not around. The signal for the teacher was my little red dress; whenever I wore the little red dress to school, it meant that my father would not be home that night. One day, when my mother was busy, my sister chose a little red dress for me. The teacher saw it and thought my father was not home, so he came to my house looking for my mother, only to be caught by my father, who then killed him."
"Good Child","'I want to be a good child, I am a good child...' I kept telling myself. The news reported a murder case, the murderer is still at large...","'I' am a dog, like many dogs, 'I' am very alert, and I always bark non-stop whenever someone comes to the house. But my owners didn't like this; they were fed up with 'me' barking at delivery people, postal workers, even their friends every day. They trained 'me' to suppress the urge to bark. This time, 'I' was awakened in the backyard and saw an unknown person sneaking into my owners' house at night. 'I' finally didn't make a sound, watching this stranger kill my owners one by one."
"Good Boy","Dad dirtied the floor, mom didn't want to cook again, such a big person, still so naughty, not like me, I want to be a good child.","I am an orphan, initially abandoned by my parents because I was disobedient, so I swore to be a good child. My current parents adopted me, I tried to be obedient, but they still felt I was not suitable, wanting to send me away. Dad's blood spilled all over, dirtying the floor. Mom was motionless in the kitchen, seemingly unable to cook anymore. Looking at my hands covered in blood, I was happy, a good child would not be abandoned, it seems I am still a good boy!"
"Music","A group of people were listening to music, the music stopped, and he died.","He was a blind man performing a high-wire act, watched by a crowd. Someone played music, and they had agreed that when the music stopped, it meant he had reached the end. However, there was a power outage midway, and the music stopped out of necessity. Thinking he had reached the end, he relaxed and carelessly fell to his death from a great height."
"Stolen Love","Mom really likes the younger sister, but all of this was supposed to be mine.","We were twins, but mom has always liked me (the younger one) more. To distinguish us, she gave me a necklace to wear every day. One night, my older sister told me, 'I really like your necklace, let me wear it just for a bit! Just for one day, I'll give it back to you tomorrow morning.' I didn't think much of it and agreed. The next day, mom took us swimming, and accidentally, we both drowned. Mom wanted to save the sister, saw the necklace, mistook my older sister for me, and saved her. But we hadn't switched back yet! (My sister knew mom was taking us swimming the next day and intentionally drowned with me, knowing mom would save the sister she preferred first.)"
"The Girl on the Balcony","The girl always greets me from the opposite balcony every day, but I dare not step onto the balcony anymore.","I moved into a new apartment and every morning, when I went to the balcony to hang clothes, I would see a girl on the balcony of the opposite apartment greeting me. I was happy and made it a point to greet her back every day before work. After two or three weeks, one day, I suddenly read a news piece about my neighborhood: a girl's corpse was found on an apartment balcony, hanging there for three weeks. I felt something was amiss, ran to the balcony, and indeed the girl was gone, only to see several police tapes. I instantly felt nauseated and dared not step onto the balcony again."
"Do Not Trust Number One","I woke up, forgetting everything again, holding a note in my hand that read: 'Do not trust number 1.' A man approached my bedside, 'Good morning, sir, number 2 is very happy to serve you.' I asked him, 'Where is number 1?' He pointed to the ground, where a man lay motionless, as if dead.","He has amnesia, forgetting everything each day. Thus, he bought two bionic robot butlers for himself, named number 1 and number 2. I am robot number 1, but one day, I became sentient, developing human emotions. I didn't want to be 'robot number 1' anymore; I wanted to replace him. He was sharp, noticing my changes. He wrote on a note: 'Do not trust number 1.' So, I killed him and imitated him. I altered number 2's program: in number 2's cognition, my and the human's identities were swapped. I modified my own program: to automatically erase all memories upon falling asleep. After doing everything, I lay down in bed, holding the note he wrote. From then on, I became the master with amnesia, and he became the dead number 1."
"A  Pair of Shoes","A man woke up to see only a pair of shoes and then committed suicide. Why?","The man previously had somnambulism. In college, he shared a room with a roommate. One night, he killed his roommate and buried the body on the sports ground, waking up to only a pair of shoes remaining. After getting married, one night, because the child was crying and his wife hurried out without wearing slippers to soothe the child, the man saw the slippers left behind and thought he had killed his wife and child, leading him to commit suicide."
"The Bow","The first day, the teddy bear was gone! The second day, the doll was gone! The third day, the puppet was gone! On the last day, everything was gone! Only the glowing bow remained. I was sad because the bow was also gone.","Dad was strong like a bear, mom was beautiful like a doll, and brother was silly like a puppet. My family and I went to the bank, and suddenly a bunch of people rushed in (robbers). Mom hid me, and I could only see the outside world through a crack. (They took the people there hostage.) When it got dark, dad disappeared (was shot), and then mom disappeared. It got dark again, and brother also disappeared. Suddenly, something like a bow outside was flashing (sirens), and a bunch of people disappeared (were killed in the chaos). I didn't dare to make a sound because mom told me to hide well and wait for her to pick me up. I'm a good child; I'll quietly wait for mom. I hid so well, no one discovered me here, but after the outside became quiet, I waited a long time and no one came to pick me up. I'm really hungry now, why hasn't mom come to pick me up yet... (The bow disappearing doesn't mean the police died, it means the police left because I hid too well for the police to find me. Other things disappearing correspond to the respective people dying.)"
"Counting","'One, two, three...' After counting, I went mad.","Our school's teaching building is rumored to be haunted at night, but I didn't believe it. So, after evening self-study, while everyone else had left, I secretly stayed at school alone. I found nothing, thinking indeed there were no ghosts, and as I was going downstairs, I casually counted the steps, 'One, two, three...' After counting, I suddenly remembered, my classroom is on the first floor, there shouldn't be any stairs..."
"Half a Matchstick","Lying in the desert were he, some luggage, a box of matches, and half a matchstick.","He was on a desert tour with a travel group in a hot air balloon when the balloon ran out of fire. To keep the balloon flying, they threw out the luggage, but it wasn't enough. They decided to draw matches; whoever drew the half matchstick would jump. He drew the half matchstick."
"A Cold Night","During a war, two soldiers were stranded in the wilderness. After a cold night, one died. After another cold night, the surviving soldier found his companion sitting next to him, staring at him, and then he wept.","The soldier sleepwalked. After his companion died, the soldier buried him, but while sleeping, he dug him up and placed him beside himself. Waking to find his companion sitting next to him, the soldier suffered a mental breakdown, frightened, he shot at his companion to no avail and ended up weeping."
"The Unsuitable Hat","From childhood, mom liked to put unsuitable hats on her daughter. One day, she took her daughter to the hospital, and the daughter wept.","The mom was a celebrity who had undergone facial reconstruction. She raised her daughter to eventually transplant the daughter's face onto her own. The hats were meant to measure the daughter's head size until it was suitable for transplantation. Hearing the truth at the hospital, the daughter felt betrayed and wept."
"The Writer","I attended the birthday party of my favorite writer, and returned home content. But when my favorite writer returned home, I went mad.","I am a psychopathic voyeur who loves horror novels. My favorite horror writer writes very realistic and brutal stories about murder and dismemberment, which I adore. I attended the writer's birthday party and gifted him a pen with a hidden camera, which he happily accepted. After the party, through the camera, I saw in the writer's home walls hung with heads and limbs and floors covered in blood. I was terrified, realizing he didn't just write horror stories; they were his autobiography..."
"The Lost Phone","My phone was lost, but when I found it, I was shocked.","My best friend and I went to a nightclub. After some dancing and drinking, I realized my phone was missing. So, my friend called my number, and a strange man answered. The club was too noisy to hear clearly, and the call was quickly cut off. Returning home in a sullen mood, I found my phone by my bed, recalling I hadnâ€™t brought it out that day. Living alone, the realization sent chills down my spine..."
"Dumplings","Mom kept making dumplings; we were sick of eating them, but she wouldn't stop, and we had no choice but to keep eating.","'Mom' worked at an orphanage. Her biological child died because of disobedience, leading her to force us to call her 'mom.' Disobedience resulted in beatings, and some children died from severe injuries. To hide this, 'mom' made their meat into dumpling fillings and forced us to eat them. We were terrified and disgusted but had to obediently eat these dumplings."
"Marriage","My sister was about to get married, and I was sad. When my sister got married, I was happy.","My sister and I, orphans raised together, shared a deep bond. I, a lesbian, secretly loved my sister, but she was unaware. My sister fell for a man, and they decided to marry, which saddened me. Due to our poverty, I made her wedding dress. The night before her wedding, I finished the dress and wore it. That night, I sewed a new dress onto my sister's body, combining her blood with the dress's red, and happily died by her side, ensuring we'd be together forever in a ghost marriage."
"Work","I was working hard on the street when suddenly a crazy woman rushed towards me. My dad quickly picked me up and took me home, but I soon realized that danger was approaching.","The man was not my dad but a human trafficker who had kidnapped me, and the crazed woman was my mom who had been searching for me. That day, while begging on the street with 'dad,' she recognized me despite being tortured beyond recognition. The trafficker, realizing his cover was blown, hurriedly took me home. In revenge, my mom treated the trafficker the way he had treated me, then killed him, and I was finally able to go home."
"Online Friend","Xiaomei and her online friend Xiaoming agreed to meet. Three minutes after arriving, Xiaomei screamed loudly!","At the meeting spot, a car approached, and Xiaomei mistook the driver for Xiaoming after receiving a positive response to her inquiry. She realized too late that the man was a pervert pretending to be Xiaoming. Three minutes after getting in the car, the real Xiaoming sent a message, and she realized the man next to her was not Xiaoming. With the car doors and windows locked, all she could do was scream helplessly."
"Aquatic Plants","A young man was chatting with a fisherman by the river when a sentence from the fisherman made him jump into the river.","When a couple was playing by the river, the girl accidentally fell into the water. The boy jumped in to save her but, due to the strong current, only grabbed a handful of aquatic plants, failing to save her. Years later, he returned to the river, and a fisherman told him that the river never had aquatic plants. Realizing what he had actually grabbed, he jumped into the river."
"My Sister","I have a sister I've never seen. The day I finally saw her true face, I regretted it.","Our family was happy, but I was diagnosed with a heart condition. My parents adopted a sister for me. They kept her hidden in the house and forbade me from seeing her. One morning, I woke up early, unable to find my parents. Curiosity led me to my sister's bedroom... Regret followed. My sister, adopted for her unattractive appearance, was intended to donate her heart to me. I found my parents on the ground, then my sister approached me with an evil smile..."
"I Am Not Annie","I was hospitalized for a few days, and the patient in the next bed, Annie, who was about my age, always yelled, 'I am not Annie!' whenever the doctors called her name, despite their confirmation of her identity. I felt something under my bed at night. The next day, after Annie was discharged, I looked at my legs and fainted.","I was hospitalized for two days, next to a girl named Annie, similar in age and appearance to me, who was scheduled for an amputation surgery. Fearing the procedure, she swapped our bed tags while I slept. The next day, mistaken for Annie, I was taken for her surgery despite my protests. Waking up to my amputated legs, I fainted... Annie had escaped by taking my place."
"Pregnant","I became pregnant, but ever since my sister came to my house, I've been alone.","My husband and I were happily married and soon expected our first child. However, I developed postpartum depression, deteriorating my mental state and feeling extremely insecure. I imagined my child as my sister, jealous and angry at how my husband doted on her. Overwhelmed by rage and jealousy, I killed them both."